customer_id,first_name,last_name,email,phone,address_line1,city,state,zip_code,country,date_of_birth,customer_since,preferred_contact,marketing_opt_in,referral_source,customer_segment,lifetime_value,created_at,updated_at
460c9c73-5dae-4587-8d96-fa7e341da608,Kenneth,Thompson,kenneth.thompson234@gmail.com,(235) 991-6946,5479 Cedar Ln,Jacksonville,FL,32099,USA,1988-08-26,2021-12-24,SMS,True,Facebook,Active,8292.98,2021-12-24T00:00:00,2022-05-25T00:00:00
baf21f7f-1062-4526-8cea-45c77a71ef36,Andrew,Thomas,andrew.thomas681@hotmail.com,(994) 940-2175,4508 Oak Ln,Philadelphia,PA,19101,USA,1992-02-14,2019-12-17,SMS,False,Facebook,Loyal,2271.39,2019-12-17T00:00:00,2020-07-31T00:00:00
dd275366-eb68-4956-ad52-e2034e645efe,Barbara,King,barbara.king688@aol.com,(939) 715-2302,6672 Park Blvd,Dallas,TX,75201,USA,1978-06-02,2020-07-19,SMS,False,Pet Store,Churned,2719.75,2020-07-19T00:00:00,2020-12-11T00:00:00
39354742-dead-4c88-8c53-ebfb3a0cd121,Kenneth,Davis,kenneth.davis570@gmail.com,(517) 274-4925,4526 River Dr,Denver,CO,80201,USA,1984-05-08,2023-06-30,Email,True,Facebook,Loyal,1854.06,2023-06-30T00:00:00,2024-01-04T00:00:00
7cac004c-9bc6-4d53-b9f6-51f462b59a80,Ashley,Anderson,ashley.anderson898@yahoo.com,(926) 432-1473,8600 Oak Dr,Charlotte,NC,28201,USA,1980-01-18,2023-12-12,Phone,False,Referral,At Risk,3779.1,2023-12-12T00:00:00,2024-10-07T00:00:00
a0e6c526-01c4-4788-a67e-2fd2d3d9cc57,Emily,Martin,emily.martin818@hotmail.com,(716) 267-5275,9149 Cedar Ln,San Jose,CA,95101,USA,1981-07-26,2020-04-27,Email,True,Facebook,Active,3438.63,2020-04-27T00:00:00,2020-04-29T00:00:00
5c3e437f-81ed-4076-a096-4bfb19e21290,Sarah,Robinson,sarah.robinson622@yahoo.com,(485) 884-1197,3779 Cedar St,Fort Worth,TX,76101,USA,1953-08-23,2020-10-25,SMS,True,Facebook,Churned,9646.87,2020-10-25T00:00:00,2021-08-26T00:00:00
14faf96a-c034-4f35-ae94-43125eac82a0,David,Sanchez,david.sanchez43@yahoo.com,(535) 866-9448,4715 Elm Dr,Houston,TX,77001,USA,2002-04-10,2024-10-08,Phone,True,Direct,At Risk,5695.58,2024-10-08T00:00:00,2024-11-23T00:00:00
50d045ea-8d52-43cb-bee9-0547f8776ca9,Michael,King,michael.king28@hotmail.com,(752) 366-3489,4012 Maple Dr,San Jose,CA,95101,USA,1973-06-06,2019-05-19,Phone,False,Facebook,Churned,4507.42,2019-05-19T00:00:00,2019-08-01T00:00:00
99dde9fd-a664-4e26-8a37-ce50919c46c9,Charles,Torres,charles.torres88@aol.com,(731) 373-5758,6179 Pine Ave,Detroit,MI,48201,USA,1954-05-03,2019-11-10,Email,True,Referral,Loyal,8325.31,2019-11-10T00:00:00,2020-05-24T00:00:00
